PEDIGREE,Site,Yield,DY,PHT
A05071/RARCH11028,18GC,5.585,66,137.2
A05071/RARCH11055,18GC,6.639,71,156.7
A05071/RARCH11056,18GC,6.251,69,147.3
A05071/RTx436,18GC,6.593,75,151.6
A05071/RTx437,18GC,6.915,66,154.9
A08140/EON361,18GC,7.173,66,138.9
A08140/R07178,18GC,6.618,66,143
A08140/R08304,18GC,5.577,66,150.6
A08140/RARCH11001,18GC,6.246,66,127.8
A08140/RARCH11002,18GC,5.787,68,131.3
A08140/RARCH11028,18GC,5.71,66,125.2
A08140/RARCH11055,18GC,5.796,77,142.2
A08140/RARCH11056,18GC,5.842,68,139.7
A08140/RTx436,18GC,6.641,68,144
A08140/RTx437,18GC,6.352,66,144
AARCH11051/EON361,18GC,5.105,72,132.8
AARCH11051/R07178,18GC,4.582,75,141.5
AARCH11051/R08304,18GC,5.641,73,149.1
AARCH11051/RARCH11001,18GC,4.017,75,123.7
AARCH11051/RARCH11002,18GC,4.129,75,131.3
AARCH11051/RARCH11028,18GC,4.54,71,127.8
AARCH11051/RARCH11055,18GC,3.867,78,141.5
AARCH11051/RARCH11056,18GC,4.595,75,151.6
AARCH11051/RTx436,18GC,4.763,78,133.9
AARCH11051/RTx437,18GC,6.231,73,152.4
AARCH11129/EON361,18GC,4.295,78,140.5
AARCH11129/R07178,18GC,4.456,78,154.9
AARCH11129/R08304,18GC,3.604,78,170.2
AARCH11129/RARCH11001,18GC,4.765,75,141.5
AARCH11129/RARCH11002,18GC,3.642,78,144.8
AARCH11129/RARCH11028,18GC,5.765,72,144
AARCH11129/RARCH11055,18GC,2.716,78,153.2
AARCH11129/RARCH11056,18GC,4.732,78,163.3
AARCH11129/RTx436,18GC,3.177,78,144.8
AARCH11129/RTx437,18GC,4.111,75,165.1
AARCH11136/EON361,18GC,5.913,73,149.9
AARCH11136/R07178,18GC,5.871,68,151.6
AARCH11136/R08304,18GC,5.497,66,170.9
AARCH11136/RARCH11001,18GC,5.646,71,140.5
AARCH11136/RARCH11002,18GC,4.43,71,149.1
AARCH11136/RARCH11028,18GC,5.762,68,143
AARCH11136/RARCH11055,18GC,5.291,78,157.5
AARCH11136/RARCH11056,18GC,3.989,69,160.8
AARCH11136/RTx436,18GC,5.519,68,153.2
AARCH11136/RTx437,18GC,6.512,66,156.7
AARCH11146/EON361,18GC,6.398,69,148.1
AARCH11146/R07178,18GC,5.894,69,154.2
AARCH11146/R08304,18GC,4.733,71,151.6
AARCH11146/RARCH11001,18GC,4.611,68,118.6
AARCH11146/RARCH11002,18GC,5.947,66,126.2
AARCH11146/RARCH11028,18GC,5.284,64,120.1
AARCH11146/RARCH11055,18GC,6.3,75,138.9
AARCH11146/RARCH11056,18GC,4.819,68,146.6
AARCH11146/RTx436,18GC,5.451,75,155.7
AARCH11146/RTx437,18GC,6.778,64,153.2
AHF14/EON361,18GC,6.417,71,134.6
AHF14/R07178,18GC,6.327,73,145.5
AHF14/R08304,18GC,8.081,68,149.9
AHF14/RARCH11001,18GC,6.948,69,130.3
AHF14/RARCH11002,18GC,6.1,71,140.5
AHF14/RARCH11028,18GC,5.653,68,126.2
AHF14/RARCH11055,18GC,5.711,78,138.9
AHF14/RARCH11056,18GC,5.13,71,132.8
AHF14/RTx436,18GC,5.658,75,140.5
AHF14/RTx437,18GC,7.169,68,142.2
AKS118/EON361,18GC,5.881,69,137.9
AKS118/R07178,18GC,5.505,66,137.9
AKS118/R08304,18GC,5.49,69,149.1
AKS118/RARCH11001,18GC,NA,NA,NA
AKS118/RARCH11002,18GC,5.042,71,132.1
AKS118/RARCH11028,18GC,4.511,64,135.4
AKS118/RARCH11055,18GC,5.467,78,140.5
AKS118/RARCH11056,18GC,4.061,68,149.1
AKS118/RTx436,18GC,6.452,70,143
AKS118/RTx437,18GC,5.411,66,143
ATx3408/EON361,18GC,6.133,75,144
ATx3408/R07178,18GC,6.427,75,152.4
ATx3408/R08304,18GC,5.559,68,173.5
ATx3408/RARCH11001,18GC,6.787,71,142.2
ATx3408/RARCH11002,18GC,5.515,71,154.9
ATx3408/RARCH11028,18GC,5.746,66,137.9
ATx3408/RARCH11055,18GC,4.638,78,154.2
ATx3408/RARCH11056,18GC,4.509,78,155.7
ATx3408/RTx436,18GC,5.031,78,152.4
ATx3408/RTx437,18GC,7.038,69,170.2
